index,source,edge,target,edge-comments,,
1,mainstream media,refuses to report facts about,vaccine industry,,,
2,mainstream media,refuses to report,facts,about vaccine industry,,
3,mainstream media,is largely funded by,drug companies,,,
4,mainstream media,is largely funded by,vaccine manufacturers,,,
5,mainstream media,exhibits extreme,conflict of interest,in reporting,,
6,mercury,is still used in,vaccines,admits CDC,,
7,CDC,admits still used in vaccines,mercury,,,
8,safe level,there is none for injecting into human,child,of mercury,,
9,mercury,has no,safe level,for injecting into human child,,
10,mercury,has no evidence of,safety,at any dose,,
11,trace levels of mercury,is not safe for,injecting,into child,,
12,trace levels of mercury,is not safe for,child,,,
13,doctor,is demonstrating ignorance of scientific facts who says the level of,mercury in a vaccine is safe,,,
14,doctor,who says the level of mercury in a vaccine is safe to inject into a child is only demonstrating their outrageous,ignorance of scientific facts,,,
15,mercury in a vaccine is safe,demonstrates outrageous,ignorance of scientific facts,doctor,,
16,mercury,is arguably the most,neurotoxic,element,,
17,mercury,is used in vaccines for the convenience of the,vaccine manufacturers,,,
18,vaccine manufacturers,use mercury for,convenience,,,
19,vaccine manufacturers,use mercury at the expense of the,child,,,
20,mercury,is used in vaccines at the expense of the,child,,,
21,doctor,who injects mercury into a child at any dose should be immediately stripped of their,medical license,who injects mercury into a child,,
22,mercury,there is no,safe form of mercury,,,
23,safe form of mercury,is often ridiculously claimed by,vaccine pushers,,,
24,ethylmercury,extremely toxic to the human,nervous system,,,
25,mercury,extremely toxic to the human,nervous system,,,
26,ethylmercury,should not under any circumstances at any dose be deliberately,injected,into child,,
27,mercury,should not under any circumstances at any dose be deliberately,injected,into child,,
28,injecting any substance,into the human body makes it orders of magnitude more potentially,toxic,because it bypasses the protections of the digestive tract or the respiratory system,,
29,injecting any substance,bypasses the protections of the,digestive tract,,,
30,injecting any substance,bypasses the protections of the,respiratory system,,,
31,injecting mercury,into a human being at any dose should be globally condemed as a,criminal act,,,
32,vaccination,condemns,modern medicine,,,
33,modern medicine,has,destructive nature,,,
34,vaccine doctrine,has become,Poison children for profit,,,
35,vaccine doctrine,was,First do no harm,,,
36,First do no harm,has become,Poison children for profit,,,
37,polio vaccines,for decades contained hidden,cancer viruses,,,
38,cancer viruses,include,SV40,openly admitted by top Merck vaccine scientist named Hilleman,,
39,Hilleman,is,Merck vaccine scientist,,,
40,Hilleman,openly admitted injecting tens of millions of people with hidden,cancer viruses,Hilleman,,
41,CDC website,scrubbed information in,revisionist history purge,,,
42,CDC website,scrubbed,information,,,
43,CDC,scrubbed information from,CDC website,,,
44,CDC website,scrubbed information of,cancer viruses,,,
45,cancer viruses,were hidden in,polio vaccine,,,
46,cancer viruses,98 million Americans exposed from,polio vaccines,,,
47,Merck virologists,have blown,whistle,,,
48,Merck virologists,have been,whistleblowers,,,
49,Merck virologists,have gone public with,shocking revelations,,,
50,Merck,routinely fabricated,lab results,,,
51,Merck,fabricated lab results to continue receiving,government contracts,,,
52,Merck,fabricated mumps vaccine,efficacy rate,of mumps vaccine,,
53,Merck,fabricated lab results to claim 95% efficacy rate in order to continue receiving government contracts on,mumps vaccine,,,
54,efficacy rate,was fabricated for,mumps vaccine,,,
55,lab results,fabricated to claim 95% efficacy rate for,mumps vaccine,,,
56,lab results,were fabricated by Merck to continue receiving,government contracts,,,
57,Merck virologists,filed,False Claims document,for fabricating lab results,,
58,vaccinated children,were the majority affected by the,outbreak,,,
59,whooping cough outbreaks,routinely involve already,vaccinated children,against whooping cough,,
60,vaccines,do not confer real-world functional,immunity,,,
61,vaccine successes,against polio and other diseases is a pure,fabrication,,,
62,polio,vaccine successes is pure,fabrication,,,
63,measles,was almost completely eradicated before the arrival of the,measles vaccine,,,
64,fabrication of vaccine successes,is discussed and exposed in great detail in the powerful book by Dr. Suzanne Humphries,Dissolving Illusions,by Dr.Suzanne Humphries,,
65,measles decline,was due to,public hygiene improvements,,,
66,measles decline,was due to,sanitation improvements,,,
67,good plumbing,saves lives more than,vaccines,,,
68,vaccine industry,refuses to conduct,scientific tests,on the health outcomes of vaccinated children versus unvaccinated children,,
69,vaccine industry,refuses to conduct scientific tests on the,health outcomes,of vaccinated children versus unvaccinated children,,
70,health outcomes,vaccine industry refuses to conduct scientific tests on,vaccinated children versus unvaccinated children,,,
71,scientific tests,would show healthier,unvaccinated children,,,
72,unvaccinated children,tests would show are healthier than,vaccinated children,,,
73,unvaccinated children,tests would show are smarter than,vaccinated children,,,
74,unvaccinated children,tests would show are better off in terms of,behavioral disorders,,,
75,unvaccinated children,tests would show to be better off in terms of,allergies,,,
76,unvaccinated children,tests would show to be better off in terms of,autoimmune disorders,,,
77,vaccinated children,who are most heavily-vaccinated all the time get,sick,,,
78,Amish,largely refuse,to vaccinate children,,,
79,Amish,have near-zero,autism rates,,,
80,vaccine court,is higher power than,Supreme Court,Supreme Court has already declared,,
81,vaccine court,granted,extraordinary powers,,,
82,vaccine court,is granted extraordinary powers to operate utterly outside the ,Constitution,,,
83,vaccine court,is granted extraordinary powers to operate utterly outside the,rules of due process and law,,,
84,vaccine court,is granted extraordinary powers to operate utterly outside the ,Bill of Rights,,,
85,vaccine court,is not even,court of law,,,
86,vaccine court,is,violation of law,,,
87,vaccine court,is,violation of basic human rights,,,
88,vaccine court,must be abolished like,Apartheid,,,
89,mainstream media,receives significant portion of revenues from very same,drug companies,,,
90,mainstream media,refuses to cover stories because of,financial influence,,,
91,mainstream media,refuses to cover stories about,vaccine-injured children,,,
92,mainstream media,fear losing advertising,revenues,,,
93,financial influence,results in media refusing to cover stories about,vaccine-damaged children,for fear of losing advertising revenues,,
94,mainstream media,frequently features guests and authors who ridiculously claim that,vaccine-injured children do not exist,,,
95,vaccine-injured children,are,delusions of their parents,mainstream media guests and authors claim,,
96,vaccine apologists,are despicable,intellectual bullies,,,
97,vaccine apologists,are like,Hitler's minions,,,
98,vaccine apologists,relish in aiding and abetting a real-life,holocaust,that's harming millions of children around the globe,,
99,vaccine apologists,are harming millions around the globe,children,,,
100,holocaust,is,vaccination,,,
101,CDC,admits,vaccines contain additives,,,
102,CDC,admits,vaccine additives,,,
103,vaccine additives,are,harmful toxins,,,
104,vaccine additives,are known to be potent,neurotoxic chemicals,The CDC openly admits that,,
105,vaccine additives,include,mercury,,,
106,vaccine additives,include,aluminum,,,
107,vaccine additives,include,formaldehyde,,,
108,vaccine additives,include,MSG,,,
109,mercury,is still used as ,preservative,,,
110,aluminum,used as,inflammatory adjuvant,,,
111,formaldehyde,used to deactivate,live viruses,,,
112,MSG,used to cause,inflammation of immune system,,,
113,mercury,toxic when injected to,human biology,,,
114,aluminum,toxic when injected to,human biology,,,
115,formaldehyde,toxic when injected to,human biology,,,
116,MSG,toxic when injected to,human biology,,,
117,rational doctor,cannot believe it is safe,injecting children,with mercury, formaldehyde, MSG and aluminum
118,rational scientist,cannot believe it is safe,injecting children,with mercury, formaldehyde, MSG and aluminum
119,rational doctor,cannot believe it is somehow safe injecting infants and children with,mercury,there is no rational doctor or scientist who can say they believe injecting infants and children is somehow safe,,
120,rational doctor,cannot believe it is somehow safe injecting infants and children with,formaldehyde,,,
121,rational doctor,cannot believe it is somehow safe injecting infants and children with,MSG,,,
122,rational doctor,cannot believe it is somehow safe injecting infants and children with,aluminum,,,
123,rational scientist,cannot believe it is somehow safe injecting infants and children with,mercury,,,
124,rational scientist,cannot believe it is somehow safe injecting infants and children with,formaldehyde,,,
125,rational scientist,cannot believe it is somehow safe injecting infants and children with,MSG,,,
126,rational scientist,cannot believe it is somehow safe injecting infants and children with,aluminum,,,
127,doctors,who inject children with vaccines are,delusional,who inject children with vaccines,,
128,doctors,who inject children with vaccines are practicing against humanity a,medical holocaust,who inject children with vaccines,,
129,medical holocaust,doctors are calling,immunization,,,
130,vaccination,doctors fraudulently call,immunization,,,
131,vaccination ,does not equal,immunization,,,
132,corporate-controlled science,is not real,science,,,
133,science,never has a monopoly on,facts,,,
134,science,on a regular basis makes enormous,mistake,,,
135,science,made a mistake when condoning smoking,cigarettes,,,
136,mistake,made by science was condoning smoking,cigarettes,,,
137,science,is,for sale,,,
138,science,is easily corrupted by,corporate interests,,,
139,science journals,are often little more than a collection of,corporate-funded make-believe science tabloids,peer-reviewed,,
140,Marcia Angell,is former editor of,The New England Journal of Medicine,,,
141,Marcia Angell,is,former editor,of The New Englland Journal of Medicine,,
142,former editor,of The New England Journal of Medicine is,Marcia Angell,,,
143,people,no longer possible to believe published,clinical research,writes Marcia Angell,,
